Freq;Ampl;Phase;Cohe
839.87;3.97;2.72;1.00
849.78;3.20;8.02;0.98
859.80;2.63;82.18;0.78
869.94;2.48;134.59;0.87
880.20;2.66;148.39;0.87
890.58;3.92;136.11;0.73
901.08;30.99;57.13;0.44
911.71;42.96;14.19;0.93
922.46;24.50;5.29;0.98
933.34;17.16;2.89;1.00
944.35;14.43;1.81;1.00
955.49;12.61;1.12;1.00
966.76;11.59;0.55;1.00
978.16;10.86;0.54;1.00
989.69;10.35;-0.09;1.00
1001.37;10.28;-0.12;1.00
